,Month,DayOfYear,Variety,City,Package,Low Price,High Price,Price
70,9,267,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,15.0,15.0,13.636363636363635
71,9,267,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,18.0,18.0,16.363636363636363
72,10,274,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,18.0,18.0,16.363636363636363
73,10,274,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
74,10,281,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,15.0,15.0,13.636363636363635
75,10,281,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,18.0,18.0,16.363636363636363
76,10,281,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
77,10,281,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,17.0,18.5,16.136363636363637
78,10,288,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,15.0,15.0,13.636363636363635
79,10,288,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
80,10,288,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,17.0,18.5,16.136363636363637
81,10,295,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,15.0,15.0,13.636363636363635
82,10,295,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
83,10,295,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,17.0,18.5,16.136363636363637
84,10,302,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,15.0,15.0,13.636363636363635
85,10,302,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,16.0,17.0,14.999999999999998
86,10,302,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,16.0,18.0,15.454545454545453
87,9,258,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,18.0,18.0,16.363636363636363
88,9,265,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,16.0,16.0,14.545454545454545
89,9,265,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,18.0,18.0,16.363636363636363
90,9,265,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,16.0,16.0,14.545454545454545
91,9,272,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,16.0,16.0,14.545454545454545
92,9,272,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,16.0,16.0,14.545454545454545
123,9,267,MINIATURE,BALTIMORE,1/2 bushel cartons,18.0,18.0,36.0
124,9,267,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
125,10,274,MINIATURE,BALTIMORE,1/2 bushel cartons,18.0,18.0,36.0
126,10,274,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
127,10,274,MINIATURE,BALTIMORE,1/2 bushel cartons,17.0,17.0,34.0
128,10,281,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
129,10,281,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,18.0,33.0
130,10,281,MINIATURE,BALTIMORE,1/2 bushel cartons,16.0,17.0,33.0
131,10,281,MINIATURE,BALTIMORE,1/2 bushel cartons,16.0,18.0,34.0
132,10,288,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
133,10,288,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
134,10,288,MINIATURE,BALTIMORE,1/2 bushel cartons,16.0,17.0,33.0
135,10,288,MINIATURE,BALTIMORE,1/2 bushel cartons,16.0,18.0,34.0
136,10,295,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
137,10,295,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
138,10,295,MINIATURE,BALTIMORE,1/2 bushel cartons,16.0,17.0,33.0
139,10,295,MINIATURE,BALTIMORE,1/2 bushel cartons,16.0,18.0,34.0
140,10,302,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,17.0,32.0
141,10,302,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
142,10,302,MINIATURE,BALTIMORE,1/2 bushel cartons,16.0,17.0,33.0
143,10,302,MINIATURE,BALTIMORE,1/2 bushel cartons,16.0,18.0,34.0
144,11,309,MINIATURE,BALTIMORE,1/2 bushel cartons,16.0,17.0,33.0
145,9,258,MINIATURE,BALTIMORE,1/2 bushel cartons,18.0,18.0,36.0
146,9,265,MINIATURE,BALTIMORE,1/2 bushel cartons,18.0,18.0,36.0
147,9,265,MINIATURE,BALTIMORE,1/2 bushel cartons,18.0,18.0,36.0
